component_index,nodes,edges,is_dag,longest_simple_path_if_dag,condensation_longest_path_hops,condensation_longest_path_nodes,directed_diameter,avg_shortest_path_est,pairs_considered,method,comp_time_sec
156,8,10,True,3,3,4,2,0.8695652173913043,23,exact_parallel,0.0125
157,8,8,True,3,3,4,3,1.0416666666666667,24,exact_parallel,0.0116
158,8,10,True,2,2,3,2,0.7,20,exact_parallel,0.0117
159,8,7,True,2,2,3,2,0.7894736842105263,19,exact_parallel,0.0144
160,8,17,True,5,5,6,2,0.8620689655172413,29,exact_parallel,0.0164
161,8,12,True,3,3,4,3,1.0,27,exact_parallel,0.0122
162,8,16,True,4,4,5,1,0.6666666666666666,24,exact_parallel,0.0129
163,8,8,True,2,2,3,2,0.6666666666666666,18,exact_parallel,0.0127
164,8,9,True,3,3,4,2,0.75,20,exact_parallel,0.0193
165,8,8,True,2,2,3,1,0.5,16,exact_parallel,0.018
166,8,7,True,2,2,3,2,0.6470588235294118,17,exact_parallel,0.0168
167,8,7,True,3,3,4,3,1.0,21,exact_parallel,0.0141
168,8,9,True,3,3,4,2,0.75,20,exact_parallel,0.0136
169,8,8,True,2,2,3,2,0.7368421052631579,19,exact_parallel,0.0131
170,7,8,True,3,3,4,2,0.7058823529411765,17,exact_parallel,0.0116
171,7,10,True,3,3,4,2,0.8,20,exact_parallel,0.0113
172,7,10,True,4,4,5,2,0.9565217391304348,23,exact_parallel,0.0117
173,7,7,True,2,2,3,1,0.5,14,exact_parallel,0.0133
174,7,6,True,1,1,2,1,0.46153846153846156,13,exact_parallel,0.0115
175,7,6,True,2,2,3,2,0.6666666666666666,15,exact_parallel,0.0106
176,7,7,True,2,2,3,2,0.7647058823529411,17,exact_parallel,0.0107
177,7,6,True,2,2,3,2,0.5714285714285714,14,exact_parallel,0.0104
178,7,8,True,3,3,4,3,0.95,20,exact_parallel,0.0105
179,7,11,True,3,3,4,2,0.6842105263157895,19,exact_parallel,0.0108
180,7,12,True,4,4,5,2,0.8181818181818182,22,exact_parallel,0.011
181,7,7,True,2,2,3,2,0.8333333333333334,18,exact_parallel,0.0106
