u,v,shared_hyperedges,score_debias,jaccard,topic,near_dup,l4_category,temporal,year_u,year_v,year_gap
doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,doi_dedup___::baee45ee275b0fc1a3e17d20aad007d5,209,3.052803207675198,0.07233333333333333,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2019,2017,2
doi_dedup___::2f284758859229700ba723887c0c7b65,doi_dedup___::3ec3e752e6f2d44cc560721f7ba3d7bd,389,3.0405475049750126,0.09377967711301044,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2014,2016,2
doi_dedup___::6ee753d4ce141fae6dca78bfdba343d8,doi_dedup___::8f9534a632ed978c4d37f4d11369722c,354,3.0078951774140323,0.06385650224215246,GW / Astrophysics,False,Missing L4 tag (title-confirmed same topic),Recent–Parent,2022,2016,6
doi_dedup___::be97bed7239244284f2a84a48ab68471,doi_dedup___::e1719fcbe37ba758bd5013b86c36b512,123,2.9285714285714284,0.051437829080599434,Oncology,False,0301 basic medicine + 0302 clinical medicine,Recent–Parent,2021,2008,13
doi_dedup___::b768979d84d319519183b38c17160759,doi_dedup___::da5379a2ade787477315a548d4961fc6,205,2.903787585809127,0.04289819376026273,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2017,2011,6
doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,doi_dedup___::796c5d56e1c2da3dd7ce4fab88194824,280,2.8919818083112414,0.09574824238366254,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2019,2015,4
doi_dedup___::796c5d56e1c2da3dd7ce4fab88194824,doi_dedup___::b768979d84d319519183b38c17160759,355,2.86925486230397,0.07326452135195305,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2015,2017,2
doi_dedup___::833a8e8a7712312bf4ebda3a78d22c7a,doi_dedup___::b768979d84d319519183b38c17160759,255,2.849206473404461,0.054149377593361,GW / Astrophysics,False,0103 physical sciences,Recent–Parent,2023,2017,6
doi_dedup___::0ea0e3cf6379a5c5f14adbe39d0c14c2,doi_dedup___::781388f411114f6774c35ffd5f84c499,142,2.8422747300402964,0.06853146853146853,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2017,2010,7
doi_dedup___::2f284758859229700ba723887c0c7b65,doi_dedup___::9899dd09023f9da5c34684f51d13422b,279,2.785546685110165,0.08912768647281921,GW / Astrophysics,False,0103 physical sciences,Recent–Parent,2014,2021,7
doi_dedup___::29fac5fc734e613bae280b45c5c03cba,doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,179,2.7813009472110397,0.07276264591439689,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2019,2019,0
doi_dedup___::524f2b0ea07bf517088a8ac5e089a7dc,doi_dedup___::9f7d56ac7ffe53e7fbbfaf15f386c318,158,2.7757770572589107,0.08195072900955254,GW / Astrophysics,False,0103 physical sciences,Recent–Parent,2019,2020,1
doi_dedup___::8f9534a632ed978c4d37f4d11369722c,doi_dedup___::9899dd09023f9da5c34684f51d13422b,273,2.765203920855576,0.051776266061980346,GW / Astrophysics,False,0103 physical sciences,Recent–Parent,2016,2021,5
doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,doi_dedup___::da5379a2ade787477315a548d4961fc6,151,2.733283518816387,0.05315843976527442,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2019,2011,8
doi_dedup___::24bb73ac5ba0230aaa476caef7d043ed,doi_dedup___::78bb2ff3919ae7df715e94a657f4512b,150,2.715182303459987,0.05782060785767235,GW / Astrophysics,False,0103 physical sciences,Parent–Parent (<2020),2016,2019,3
