graph,min_size,threshold,n_communities,coverage,overlap_rate,n_overlapping,avg_memberships,avg_comm_size,median_comm_size,modularity_overlap,conductance,micro_frac,elapsed_s
G_CitOnly,5,0.65,2372,0.6008569664838955,0.2105517616486372,6968,2.365241102181401,17.96247892074199,8.0,0.08344248985132763,0.5011461816597823,0.0,10.6
G_BC,5,0.65,2343,0.7017690050865406,0.21739560657035426,8788,2.3172507965407374,22.193768672641912,9.0,0.12468466580210223,0.46430787522338646,0.0,872.3
G_CitOnly,6,0.65,1762,0.5612041105341515,0.19369136201876416,5987,2.311007182228161,21.99716231555051,10.0,0.09752104343060261,0.46076079716257196,0.0,10.2
G_BC,6,0.65,1800,0.6678645209450896,0.2037638740869746,7839,2.296211251435132,27.017777777777777,12.0,0.13528448303030274,0.4278952394090558,0.0,871.6
G_CitOnly,7,0.65,1535,0.526308144812811,0.19521871119083758,5659,2.354479590033575,23.878175895765473,12.0,0.08611201484399716,0.46373073001458637,0.0,9.5
G_BC,7,0.65,1629,0.6409562001979063,0.20814712494244467,7685,2.306701366297983,28.829343155310006,13.0,0.12039783029144312,0.4348135199545221,0.0,872.7
G_CitOnly,4,0.7,3508,0.6437960710265441,0.2751910657378945,9758,2.523262963722074,14.34521094640821,7.0,0.07553027434414268,0.5391028869810625,0.17189281641961232,11.2
G_BC,4,0.7,3237,0.7359686127458639,0.2637401519082889,11181,2.438869510777211,18.06672845227062,8.0,0.11656407043509784,0.5005512560426515,0.146122953351869,874.3
G_CitOnly,5,0.7,3202,0.6005483133011366,0.28609003234876196,9463,2.6453555954771213,15.19269206745784,8.0,0.04838872480994437,0.5653922557746298,0.0,11.0
G_BC,5,0.7,2958,0.7024634133638873,0.2850682087781732,11535,2.469700910273082,19.41075050709939,9.0,0.09141360854663268,0.5132832519784213,0.0,871.3
G_CitOnly,6,0.7,2506,0.5613856712298921,0.2690168175937904,8318,2.572493387833614,17.557861133280127,9.0,0.04911912158185596,0.543988935749742,0.0,10.7
G_BC,6,0.7,2420,0.6694269395691197,0.26441222997328906,10196,2.4493919183993724,22.04090909090909,10.0,0.08628476647647103,0.50267019306684,0.0,870.8
G_CitOnly,7,0.7,1884,0.5267257344130143,0.24935369342663127,7234,2.51700304119436,21.223460721868364,11.0,0.06328765774738794,0.5097676802553276,0.0,10.4
G_BC,7,0.7,1925,0.6388208947450653,0.25303005598130335,9311,2.4486091719471594,26.122597402597403,12.0,0.09994307511000658,0.4705740394321622,0.0,871.0
G_CitOnly,4,0.75,7024,0.644667562366099,0.4323372856056552,15351,3.192625887564328,9.847095671981776,6.0,-0.006750750092023843,0.6569500124612514,0.3754271070615034,12.1
G_BC,4,0.75,6303,0.7365241393677413,0.3974685334464715,16863,2.961454071043112,11.978740282405203,6.0,0.01617554296620377,0.6227794456573956,0.3725210217356814,869.6
G_CitOnly,5,0.75,4372,0.6006390936490069,0.361284081978115,11952,3.094293842034806,13.292086001829826,8.0,0.02482697261097857,0.6108689421110892,0.0,11.5
G_BC,5,0.75,3963,0.7019946877766783,0.34567351682864705,13978,2.8453999141508084,16.712591471107746,8.0,0.060019341608223135,0.5652848977431428,0.0,870.2
G_CitOnly,6,0.75,3708,0.5598242492465231,0.35567879613413766,10967,3.0945563964621137,14.510517799352751,8.0,0.01663374013542487,0.6088653339652305,0.0,11.0
G_BC,6,0.75,3393,0.668315886325365,0.3352988544561914,12908,2.804229934924078,18.20984379605069,9.0,0.04916744604025954,0.5624872933289021,0.0,869.2
G_CitOnly,7,0.75,3328,0.5262355205345147,0.3706182721501518,10742,3.1920498975982126,15.784555288461538,10.0,0.011887951726693886,0.6088893746382926,0.0,10.3
G_BC,7,0.75,2968,0.6400534694373557,0.3325558056904174,12261,2.797895767066308,19.849393530997304,10.0,0.046270401895115894,0.5507278151308508,0.0,868.9
G_CitOnly,4,0.8,7478,0.6009295907621918,0.5153483594174875,17057,3.860467843114264,10.950655255415887,7.0,-0.00993882213528004,0.6651824854273024,0.0,12.7
G_BC,4,0.8,6588,0.7015606826033366,0.4542215183608829,18356,3.4524406188712136,12.967364905889497,8.0,0.00993767518633999,0.6275640490118624,0.0,870.5
G_CitOnly,5,0.8,7418,0.6010566832492102,0.5057846246790515,16744,3.821070234113712,10.83054731733621,7.0,-0.010815567311214271,0.6662845477021714,0.0,12.3
G_BC,5,0.8,6703,0.7024981337777546,0.4649582365442594,18815,3.452777039596067,12.921826048038191,7.0,0.009261317560654037,0.6276428991662844,0.0,867.4
G_CitOnly,6,0.8,4986,0.560423399542467,0.44299737583827387,13674,3.7082784847155184,13.618130766145207,9.0,0.005623885368598462,0.6356388351403105,0.0,11.1
G_BC,6,0.8,4654,0.6679339617728244,0.41655620532813514,16027,3.337804954139889,16.317791147400087,10.0,0.02972306280798504,0.5961187861638132,0.0,727.9
G_CitOnly,7,0.8,4540,0.5260358037692,0.45373278569702824,13146,3.843602616765556,14.615638766519824,10.0,0.003159858253096421,0.6329648928938637,0.0,10.6
G_BC,7,0.8,4295,0.6390986580560041,0.42030205899929374,15473,3.4641633813740063,17.448661233993015,10.0,0.024127290912735008,0.5985910364973224,0.0,728.2
